primary_type,day-of-week,community_area
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,4
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,5
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Fri,7
ASSAULT,Sat,7
ASSAULT,Sat,7
ASSAULT,Sat,7
ASSAULT,Sat,7
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,8
ASSAULT,Sat,9
ASSAULT,Sat,9
ASSAULT,Sat,9
ASSAULT,Sat,9
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,10
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,11
ASSAULT,Sat,12
ASSAULT,Sat,12
ASSAULT,Sat,12
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,13
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,14
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
ASSAULT,Sat,15
